Kalenjin,Kiswahili
Kwatech kot nyun ak inyendet nepo chomyet eng' muguleldanyu.,Nimejenga nyumba ya upendo na wewe moyoni mwangu. 
Tinye sagek chechang' ketit ni oo, Mti huu mkubwa na una majani mengi. 
sero nebo tuguk ab mbar ko chang mising,soko ya mazao yanafaa kua mingi.
Chobisiet ole kichoptoi amitwogik ,Mapishi ni namna ya kuandaa chakula
pik ap kenykokitinyei tapietnemie ,"Wahenga na watu wazamani walikuwa na maadili kama vile heshima, ushujaa, huruma na hata kuwa, ng busara lakini siku hizi maadili hayo yote yameweza kuzorota kwa njia tofauti tofauti kama vile malezi mabaya, utumiaji wa mihadarati na, kadhalika."
maasai ko biich chekinyorchini emeet ab kenya ak  Tanzania, Maasai n jamii inayopatikana katika nchi ya Kenya na Tanzania.
"Boyon Eliakim Ochieng, ko kimwa eng chikilishe ne kimii  Taifa Leo.","Bw Eliakim Ochieng, alisema kwenye mahojiano na Taifa Leo.  "
Bo komonut eng kero yakwaiyetab ngungunyek ngotkomochi kochun minutik anan ko olo ,Ni muhimu pia kuzingatia rotuba ya mchanga iwapo inaweza kumeesha mimea au la. 
 Amuchi atelel akinye akot eng tuindo,Naweza kusimama nawe hata gizani.
Inye koi walutyet ap saenyun anyor chamanetap iman, Nawe ni jibu la sala zangu za kuwa na mpenzi wa kweli
poipoiyet kopunu aritit ap mukuleldo,Furaha inatoka ndani ya moyo.
katuyet ap chamyet apkei komakat ,Minghairi ya hayo ni mahusiano ya kimapenzi ambayo hayafai uita Yanceweza kuwa
Mitei yu koboteech chorwenyu ne legit.,Rafiki yangu wa karibu yuko hapa nasi.
tienwokik che ipoipoiti kokona kimnatet ,Wimbo wa kufurahisha unanipa nguvu.
Kou hesabuk ko netoreti ochei ,"Mfano, Hisabati ni somo la maana "
Mogotin koam lagokab sukul amitwogik che tililen,Wanafunzi wanafaa kula vyakula safi
cheet ap bongo flava kokaikaiyo ,Beats za bongo flava zinanichangamsha.
Matinye poipoiyet missing' amin kwaabet simennyu.,Sina furaha sana kwa sababu nilipoteza simu yangu.
 Borie ne bo oeng eng ng'ony ko kibek eng kenyitab 1945., Vita vya pil vya dunia vilimalizika mwaka wa 1945.
Akerin ko u lapkeet ap kecheig , Nakutazama kama nyota inavyong'aa angani.
Kipakenge ko ipu tesetaptai ne tesaskei,Ushirikiano huleta mafanikio endelevu.
koninaik chemi barak ko kabaruret eng' kabatindet, mazao kuboresha ni baraka kwa mkulima
Ne ng'etu iyookte.,Msalie mtume.
Chamyengung ko u tait ne lapkei,Pendo lako ni kama taa inavyong'aa.
lapatetap karisiek kokaikai chetopeni,Mbio za magari zinachangamsha mashabiki.
Etunet a tuguk koibu kelgin,. Ukuaji wa mapato unaleta mafanikio.
Kaporoch poisyonik chechang' ak atinye poipoiyet ne oo missing',Leo nimekamilisha kazi nyingi na nina furaha sana
Magat keam amitwogik che kororon.,Tunapaswa kula chakula kizuri.
Icheget ko kiboitinik kekoch ngatutik ako Kas it,"Wao ni kama watumishi, wapewe amri, na wazitii."
Konyoiset kowendi kongetei akoweksei eng oretab kila,matibabu huenda kukatika na kurudi katika hali ya kawaida.
Choru asista eng kong'asis karirunit age tugul.,Jua linachomoza mashariki kila asubuhi.
Kiabwaat ole tilyandit koketoretgei ama kekerkeit.,Vilevile nilikumbuka kuwa udugu ni kufaana wala si kufanana.
kerip omitwokik ko kararan eng chametapgei,Usalama wa chakula ni muhimu kwa afya.
kondit kotelelchini ateptoo ne pororiet ,Utu na heshima vinasimamia maadili ya jamii.
Kisoman lakwana pukuit ne kararan,Nilisoma kitabu kizuri 
"Kora koreu nyumnyumindo eng boisyetab oratinweekab kebeberweek ang'wan, kekonor garisyek.","Pia huleta unafuu kwa utumiaji wa mapita ya gari Nne, magari kuwekwa."
Kakwautietab serkali kokanabta kobotisiet koyoei neranik konyor boisionik ,Hatua ya serikali ya kuimarisha kilimo itawafanya vijana kupata kazi hata walio katika maeneo duni nchini. 
Saisyek chechang' achame atyeni.,Mara nyingi napenda kuimba
Somani chepto bukuit akobwati eng metit,"Msichana asoma kitabu, akisafiri kichwani."
Achame kemi ak choronok chuk keyoe tuk che kichome,Ninapenda tukiwa na marafiki zangu tukifanya vitu tunavyopenda
tulet ap trap kokaikaiti neranik ,Beats za trap zinachangamsha vijana.
Kaikai nai ile achamin missing'.,Tafadhali jua kuwa nakupenda sana.
maimuchi sikik kuay koal kitabusiek amuu nyalilda,Hii ni kwa sababu wqvyele wao hawawezi kukimu gharama ya vitabu hasa vya kusomea kura sababu ya ufukara.
"Biik koititoi boisionik ako sugulisyek koimaikagee: aeng', loiseet komieitu angot keisto asoya.","Watu watafika kazini na shuleni bila ya kuchelewa: Pili, uchukuzi itaimarika pindi ufisadi utakapo ondolewa, ufisadi Kuondolewa ndicho chanzo muhimu katika kuimarisha uchukuzi nchini."
Kipendi sukul mutai karon,Tutaenda shuleni kesho asubuhi
Kikokwa tai uhuru Kenyatta eng borietap nametab osoya ,"Uhuru Kenyatta imepiga hatua mbele katika kupigana na kukabiliana na ufisadi Hizi hapa ni njia ambazo zinaweza kutumika ili kukabili ufisadi nchini kwanza, kuhamasisha na kuelimisha wananchi kuhusu ufisadi na athari zake kupitia kwa vyombo vya mawasiliano Mitandao ya  kijamii, runinga, magazeti na hata redio zinaweza kutumika katika kupitisha ujumbe kuhusiana na suala zima la ufisadi."
Tinyei serkalit ak pororiet boisiet kokimit neranikcho,Serikali na jamii ina wajibu katika kuimarisha vijana wetu.
Kikisupi ng'atutik anda keratin ,Sheria ilikuwa lazima ufuatwe ama ufungwe
tukuk chechang cheiimi kipsomaninik eng sekondari kou,ya matatizo mbalimbali yanayowakumba wanafunzi o Katika shule za upili nchini ni kama vile?
Serikali nemi kandoinatet koborie kibagengeisiek chu eng chokchinet kouye magat,Serikali iliyo mamlakani ishughulikie mfumo wa vikundi hivi kwa haraka ipasavyo .
Tuguk chekichopisie kenyorchini Ole kioldoisie,Viungo vya kupika hupatikana dukani
Chomye ng'ung' kou u karwotitet ne anyiny ne amoche arwotito koigeny., Upendo wako ni kama ndoto tamu ninayotaka kuota daima.
Kopo kwong'et tumdap katunisyet ako koipoipoiti.,Sherehe ya harusi ilikuwa ya kushangaza na ya kufurahisha.
Amune asimokikure olinyo kainenyi? ,Basi mbons huku kwetu  hakukuitwa jina lake?
kipsomaninik chechang koputos amu makineti,"Tatizo hili linasababisha walimu, wengi kutohudhuria baadhi ya madarasa na kutundisha: Jambo hili linasababisha wanafunzi, kutotundishwa masomo mengine kwa kukosekana kwa walimu shuleni  Jambo hili pia linaweza kuwafanya wanafunzi wasimalize mitaala yao shuleni, kabla ya kufanya mtihani wao"
Kiboitinikab serkali cheimuchi koboisie tugukab pororiet eng oret neya,Wafanyikazi wa serikali wanaweza kutumia mali ya umma kwa njia mbaya.
Tech sobet ak kabarunet new kararan ,Jenga maisha na mtazamo mzuri.
Rip minuk eng choket, Kuhifadhi mazao kwenye maghala.
Asiipwon chego ipunu sukul,Uniletee maziwa ukitoka shuleni
Kakiipwon logoek chechang' missing',Nimeletewa matunda mengi sana
"Chu tugul komuchi kotuiyo ak cherubei, netai ko magat kochob serkalit chamait. Ne kisuldoe bolatosiek akobo nametab osoya ","Haya yote yanaweza kukabiliwa kwa njia zifuatazo: Kwanza, serikali lazima ibuni taasisi tekelezi ya kitaifa ya kampeni dhidi ya ufisadi."
Kwaang'alal ak inendet kotinykey ak ng'alyondonotok,Niliongea na yeye kuhusu jambo hilo
Inye koi chomyet ap iman.,Nawe ni upendo wa kweli.
"Eng kanabtaetab kobotisiet, komuchi kotoret serkali kobotik koalda kesutik kwai","Vilevile, katika swala hili la uimarishaji wa Kilimo, Serikali inaweza kuchangia kwa kuwasaidia wakulima kuuza mazao yao ya kilimo."
Ki mi lolet ne mining eng orit yo,Kulikuwa na mfuko ndogo hapo ndani
kigeer bik ab misrii pusishek ,Paka zilifugwa na Wamisri
tienwokik ap chamiet kumutwo eng kapwatet ap chamiet ,Nyimbo za kimapenzi zinanileta kwenye hisia za upendo.
Nebo biik ako tuguuk ko keboisye meliit ako ndegeet.,wa watu na mizigo ni kwa kutumia meli na ndege.
Kirindaet ab korotwek,Kuzuia magomjwa
Mutai kerutochini kot ap kabwatet nepo emet,Kesho tutatembelea jumba la kumbukumbu la Taifa.
mamaka konyanyasani kandoik che kipsomaninik cheto,Aidha kwa wakuu wa shule yaani walimu au wanafunzi' wengine ambao ni viongozi lakini hususan kwa viongozi wanafunzi ambao hunyanyasa wanafunzi wenzao na hata kufanya maisha yao shuleni kuwa mtihani:
Kiloboti boiyot Juma kochengei robinikchi chebo etunatet,Mzee Juma alikuwa akikimbizana na pesa zake za uzeeni.
Iyan karuatitoet ngung kosulda ," Amini ndoto yako, itimiza."
"bandab kotunisiet ko ne ineegei, ye tesei kenyisiek komonutiet",Safari ya ndoa inakuwa ya kipekee kadri miaka inavyoongeza thamani.
Chamnyengung ko u matap muguleldonyu,Upendo wako ni kama moto la moyo wangu.
 Moch eng sait ni keboisie enh chokchinee ako kikararan kararan ochei.,"Anaweza sasa kutimIka kwa urahisi, na alikuwa mzuri, mzuri sana."
Atare awekchinikei che kobo tai kole ketik tugul komagat kosub missing ,"Nikifungua jamvi la mjadala, ninarejelea ya hapo awali kuwa madereva wote wanapaswa kutilia maanani masuala ya kiusalama wakiwa barabarani."
tienwokik ap chamyet kotinyei maket ap mukuleldo  ,Nyimbo za mapenzi zinagusa hisia za moyo.
araita nekintee nebo indi kokichome en emeet ab kenya, Bahari kubwa la Indi inavutii katika nchini Kenya.
Amache anyor poisyet ne kono poipoyet, Nataka kupata kazi inayonipa furaha 
serikalit ak lekistakanishe koporie stakanet ,Serikali mahakama zingine mashinani ni visa vikabiliwe ipasavyo.
lekiruitos kolekit ak sukul,mabwenini karibu na shule.
 Kigerei kongen boisienyii komiee.,Huku alionekana kuelewa kazi yake vyema.
"Koruotitoet nekararan, yotoktos konyek","Ndoto nzuri, macho yanafunguka."
Kekimit nyukunyek ak keturek komie,Kuimarisha udongo kwa mbolea asili.
kanetishiet  eng'  kabatik kotese chekikese, Kutoa mafunzo  wakulima inaogeza uzalishaji.
Ng'om nea lakwananyu akotinye kimnot ne oo, Mwanangu huyo ni mwerevu sana na ana uwezo mkubwa.
 Kiibu mashinit noto nyalil eng wikishe oeng che ko kosirto.,Mashine hiyo ilileta hitilafu kwa karibu wiki mbili zilizopita.
Amache apoisye kasarta neo ak konyun, Nataka kutumia muda zaidi na familia yangu.
Kot ko memande agure tupchenyu,"Ikiwa hutaondoka, ninaita ndugu"
Teksetab oratinwek komochei keborie kotomo koyachikitu ngalek,"Isitoshe, ujenzi wa barabara au nchi yetu unapaswa kushughulikiwa mapema vilivyo na serikali kuu na hata serikali za kaunti iwezekanavyo kabla mambo hayajaenda ndivyo sivyo kwani samaki hukunjika ungali mbichi na udogo hupatilizwa ungali maji."
"Tobeni kogelik, kobaorioni kembout ne busalia","Nyota zinatazama, zikishuhudia usiku wa manjano."
Ii ne nyu koigeny chamanenyu,"Wewe ni wangu milele, mpenzi wangu."
 Mancity ko timit ne bo oeng kobate Liverpool koib kikombeee ab League Cup konyil somok che rubekei.,ManCity ni kikosi cha pili baada ya Liverpool kunyakua ubingwa wa League Cup mara tatu mfululizo. 
Tinye korik chechang' koi,Nyumba hii ina vyumba vingi
Atebto ne kararan ko magornotet ,Afya njema ni utajiri.
Garamet tab sobet ko keljin ,Gharama za maisha ni ushindi.
Somanet eng' lakok ko konorwet, Elimu ya watoto ni uwekezaji.
Tinyei oratinwek kebenonik che ibu nyasutik ,Barabara huwa na mabonde na huwa zina mashimo na kusababisha ajali.
ak pik cheripei emet komakerkei ak chenamei osoya ,na wazalendo halisi ambao wako tayari kufa kwa ajili ya nchi yao wala si kama wale wafisadi wa badhirifu na waamba ngoma ambao yao.
Somanet kotechei kayanet toloita ne kiim, Somo hujenga msingi thabiti.
Achamin kou yeiluu kecheik eng' tuindap kemoi,Nakupenda kama vile nyota zinavyojaa gizani usiku. 
Iyani alak ak ko maiyani alak eng UFOs,Wengine wanaamini katika UFOs na wengine hawaamini
Chame lagok chok kourereni eng' sang',Watoto wetu wanafurahia kucheza nje
 Yat kurgotik chebo maget ,Fungua milango ya fursa.
Chomnyet kosirei kiwato nebo meet.,Upendo hupita mipaka ya kifo.
Amuchi aruotyin petut age tugul kemoi,Naweza kukuotea kila siku usiku
kurset nebo neranik kusup ng'atutikab emet,wito wa vijana wa kutia sheria ya nchi
ne nekonu kaimutiet eng kabatishiet,Ni nini haswa huchangia changamoto za ukulima?
Kibotoni eunyu ye kingondeni sieet nekiiboru kole achobet eng kei age tugul.,Nilitetemeka mkono sana nilipokuwa nikitia sahihi ya kuthibitisha kuwa nilikuwa tayari kwa lolote lile.
"Wendi koteleli emet kotugul, wendi barak uchumi ak korutechi biik kobun emetinweekab sang asi kotes aisururt ak kobiit poratet.",Nchi itaimarka ng hitaendelea Kijumla  Uchumi wetu utakuwa juu na hata adinasi kutoka nje ya nchi wataizuri nchi yetu na hivyo basi kutuongezea ush?nunchi na Kupitia uhuru huo nchi itazidi kukuwana kupata ufanisi zaidi.
Kakwo oineet.,Amekwenda mto.
Naet koipu boishet,Ujuzi huleta fursa za ajira.
keyai tukuk che yach ko makiyani eng pororiet ,Ukatili haukubaliki katika jamii yetu.
Katunisyet ko taunetab togeet ne lel nebo bukuitab sobeet eng kibagenge.,Harusi ni kuanza kurasa mpya za kitabu cha maisha pamoja.
Askariik chechang chebo keny kokitil komwechi timin.,Askari wengi wa zamani baadaye waliamua kukimbia ndani ya kichaka.
Chamyenyo ko u roptap berur,Upendo wetu ni kama mvua ya baraka.
"Koen ketik, tektoi urwet ","Miti mirefu, kivuli kinawakinga."
Boiboiyeet nebo kip agenge koyae katunisieet kotebee ole mii kalyeet ak kagaigaet,Furaha ya pamoja inafanya ndoa kuwa mahali pa amani na faraja.
lapatet kotinyei chamyet apkei ak kipakenge ,Riadha hukuza afya na usawa.
"Ngonamin koroi akilobotyi Ole kinyoise, ",Ugonjwa huu ukikupata na ukikimbilia
Ngotko mayai kouye mwoei ngatutiet kerotei kenyisiek chechang ak konyor kergongiet ne korom ,Hawa wakiuka sheria kifungo cha miaka mingi na adhabu kali kwa yeyote atakaevunja sheria.
Achamin eng' oret ne makoi mwa ng'alek, Nakupenda kwa njia ambayo maneno hayawezi kuelezea. 
samei kiptaiyat chitukul Kotor inemdet,Mola ameumba watu wote na uwezo tofauti tofauti na huwezi kumlazimisha mtu awe hodari na yeye
Nyolu kesup arorutiik ako kabarunoikab oret.,Lazima kufuatwa kwa alama za ishara barabarani.
Somanet kotareti ateptab emet,Elimu huchochea maendeleo ya kiuchumi.
kimite ibinwek chebo late,tuko katika nyakati za mwisho
"Kokeny eng musoknatetab kasari kotoreti garisyekab kasari koarorchi ketindet angot ko chapai, mitei kebenoniik anan ko ng'uiyondiit age tugul asi komuch koitita tuguuk ako biik kochomegei.","Pia teknolojia itasaidia magari ya kisasa kumuelekeza dereva, ikiwa kuna utelezi, mashimo ama hatari yoyote hivyo basi itaweza kufikisha bidhaa na watu kwa usalama. "
Chopkey kepe kap senge,Jiandae twende kwa shangazi
"Kiwal urerieonoto ako tesetai konere, kimwa konetinte Thomas Tuchel.","Alibadilisha mechi hiyo na anaimarika, alisema kocha Thomas Tuchel."
pcheet ab kei ko matindoi komosta eng pororiet nyo,Ubaguzi hauna nafasi katika jamii yetu.
Chomye ng'ung' kou uset ne usei eng' mbarennyu., Upendo wako ni kama upepo unaovuma shambani mwangu.
Chomnyet kou ketit ne kitelel ne iye logoekab boiboiyet.,"Upendo huwa kama mti imara, unaozaa matunda ya furaha."
Koskoling'ut ap rani kependi ganisa,Jioni ya leo tutakwenda kanisa
Kokipaipaitke nea che kokakibe tumdo amut,Tuliohudhuria sherehe jana tulijifurahisha sana.
Tinye porto ne kararan nea lakweng'ung',Mwanao ana afya nzuri sana
Kayanet tab gei iwal ,"Tathmini uchaguzi wako, badilisha."
 Kosir kikombeshe somok che bo Laague Cup ko borchinekei Guardiola kontea ManCity.,"Zaidi ya mataji matatu ya League Cup, Guardiola anajivunia pia kuongoza ManCity ."
Kametap lakak chu ko inye chamanenyu,Mama wa watoto wangu ni wewe mpenzi wangu
Kwanetkey kamanutyet ap nyoet ap kat,Nimejifunza umuhimu wa kusamehe 
Keyankei kochutchin  tesetapkei,Kujiamini huchochea mafanikio.
kakopit ng'ashakatabkweny kosupngéi ak Elnin,mmomonyoko wa udogo umeshuhudiwa kutokana na mvua ya El nino
Kiib kandoik ng'aleek kityo ama yaei kiy,Viongozi wengi wanachukulia mambo kimzaha na hawayatilii mkazo.
Inye koi taunetap poipoyet eng' sobennyu,Nawe ni chanzo cha furaha katika  maisha yangu. 
 Chemelil ko akenge eng kampunishe che serei biik che chang boisie.,Chemelil ni kati ya kampuni inaypandika kazi watu wengi.
 biik che ng'ulotei aketugul kokakoitu.,kila aina ya watutayari wamefika
Bagochi kelchin sinyoru  sobet ," Achilia bughudha, patia maisha yako."
bongonii kipsomaninik koba oldaab chokik, Wanafunzi wanapanga kutembelea mbuga la wanyama.
Kongonyor logoiwek Kijasiri kole kakinam Asisi eng ketesietab polis nebo jua kali konyor cholatet eng muguleldonyi,"Kijasiri alipopata Habari ya kuwa Asisi alikuwa amezuiliwa katika kituo cha polisi cha Jua Kali, alipata dukuduku moyoni."
Toma kekas  kei eng oling'wai ,Bado hatujasikia chochote kutoka kwao
Tinye logoek che onyiny ketit no,Mti huo una matunda matamu
Ketik che moisubi ngatutik komonyoru sobet,wa magari Madereva wasiofuata sheria na kutumia mwendokasi hodari hukosa budi kuja kupona.
"Tebei lakwet, komochei konai ungotikab ngwony ","Mtoto anauliza, akipenda kujua siri za dunia."
atieni ak paipaiyet ak asenet,Naimba kwa furaha na shauku.
kenetkei ko pandaap kenaikei,Kujifunza ni safari ya kujitambua.
Naet kopa kelchin,Ujuzi ni silaha yetu.
Kwanitab Asisi kiikure Mahiri,Babake Asisi aliitwa Mahiri.
ngomnatet koetu komi namet apkei ,Maarifa hukua kwa kushirikiana.
Kenet bik komie kele makararan kenam tugukab kagaigaigaet asikenyor boisiet eng emey,"Wananchi waelimishwe kwamba si vyema kupokea rushwa ili kupata kazi yoyote nchini .Hata hivyo, mashirika ya kijamii ya fadhili uongozi kwa kuunda mashirika ya kijamii ambapo itatilia mbolea kwa haki za kijamii."
Kagweriote tab mungaret ko kararan ,Uendeshaji wa biashara ni muhimu.
kabatishiet nebo mungaret komache kerchinet nebo barak,Kilimo cha biashara inaitaji makini.
Achame tyong'ik ak achame arutochini atkan tukul,Ninawapenda wanyama na ninapenda kuwatembelea kila mara.
cherupei ko sidesiek cherupei kipsomaninik ap sukulit ap parak ak kanetik kwai ,"Basi yafuatayo ni baadhi ya mapingamizi yanayo yafuata wanafunzi wa sekondari nchiniAula, kuadimika kwa walimu waliohitimu."
Motinye kwony imanit koboi tuguk agot che chachi,"Mwanamke hana haki ya kumiliki mali, hata yaliyo yake"
Nyasut komotinyei girindaet ,Kwa hakika ajali haina kinga.
Keswekab kasari ko buruket nenyoulu amu konu kesutik chechang ,Mbegu za kisasa za mchanganyiko ndizo bora kwa mchanga uliyo na rutuba ya juu kwani zinzweza kukupa mazao bora na yenye afya.
Kiboiboitu mising' ko kaweek,tutafurahi sana anaporudi
Kiyoe tililindo eng' kokwenyo petut ap Chumamos,"Siku ya Jumamosi, tutafanya usafi katika kijiji chetu"
Ketiik kora kole isupi ng'atutiik chebo soeet.,Marubani vilevile kuhakikisha kuwa wanafuata sheria za angani.
walet ab siasa ak kabatishiet kokonu tiet ab gee,Mabadiliko ya Kisiasa na Kijamii huleta mitingiko katika ukulima
ngomnatet ko yateiwat ap teset ap tai,Maarifa ni ufunguo wa maendeleo.
Lagok chechang chebo sukul eng emet komochomei somanani kou somanosiek alak cheu hesabuk,"Aghalabu, wanafunzi wengi nchini hawalipendi somo hili na hulikataa ilhali ni bora zaidi kuliko masomo mengine kama hisabati na historia. "
 Eng yoto ko kii rubeiwon eng timishe somok che bo tai.,"Kisha, alikuwa shabiki katika mechi tatu za kwanza. "
 macham kotup lakwee ng'wang okoi konai iman koleni kibar sikiik chii.,Walikataa kuzika mwanao hadi wabaini ukweli wakidai aliuawa Wazazi
inetekei kewelutik kuk chepo keny,Jifunze kutoka kwa makosa yako ya zamani.
metil maket amu tokomi kamangunet ,"Usikate tamaa, bado kuna matumaini."
Ng'omnotet koipusobet neo,Maarifa huleta mafanikio makubwa.
Eng netai kokitoi kogeer tilyandit eng logoiwek che kiiro eng gazetit,"Kwa mara ya kwanza, alianza kuona uhusiano baina ya Habari aliyoiona kwenye gazeti"
Apwoti ale makat inyoru ruondo kitikin,Nadhani unapaswa kupata usingizi kidogo
Akoyai serkali Kora somanetab kobotisiet koek nekiyaei eng sukulisiek tugul,Na pia serikali kulifanya somo la kilimo la lazima lifanywe na kila mwanafunzi.
aishet ne ter eng' kabatishiet kotese tuguk chebunu mbar,Mifumo bora ya ukulima umeongeza mazao
