Kidaw'ida,Kiswahili
Mapemba ghebuka kisha kisha.,Mahindi yamemea vibaya
Wadaghochuia w'uli ghwaw'o,Wanakojolea kitanda chao
W'adaida w'andu w'isew'iroghue.,Wanapita watu bila kuwasalimia
Wadang'alang'ala sa kilole.,Wanawaka waka kama kioo
W'alodi w'a tee ni w'engi.,Manabii wa uwongo ni wengi
Kukunuo mafuri gha mghongo.,Ondoa nyw'ele za mgongo
Gafwa rake razoghua shuu.,Ndevu zake zimekuwa sana
Mbew'a yecha yameria kishoo.,Panya ya kuja humaliza ngozi
Kose kuko na machi kusew'adie.,Kote kuna maji usikanyage
W'ana w'ake w'afunya mbori kwa kusighwa.,Watoto wake wametoa machozi kwa sababu ya kuwachwa
Oka na lwau lubaha sa lwa chovu.,Ana mguu mkubwa kama wa ndovu
Wadaliw'a kuisa mfagio msow'elenyi.,Huwa anasahau kupitisha ufagio chini ya kitanda
Mundu ufuilo ni mka wapatwa ni w'asi.,Mgane amepatwa na shida
Poisenyi malagho ghenyu.,Tengezeni maneno yenu
Ikwau dendunga machi mbuw'a yose.,Jana tuliweka maji shamba yote
Malagho gha chofinyi ndeghipoiye.,Mambo ya ulevi hayapendezi
Ukanekwa vindo wadadagha.,Akipewa chakula huwa anatupa
Wadaobua kuloghwa shuu.,Anaogopa kurogwa sana
Kio chake chadaka cha w'asi.,Usiku wake unakuaga wa shida
Daw'eghora daw'ae mapemba.,Tunasema tulipanda mahindi
Iruw'a jaringa demu kose.,Jua limewaka kote
Daw'eagha kitangara cha nguku.,Tunajenga banda la kuku
Iruwa jikakaba niko vua ichaa.,Jua likipiga ndio mvua itakuja
Nyodo ya uja mghosi yeka mbaha.,Nyoyo ya yule mzee iko kubwa
Kaka koa kufinikire momu.,Ukiwa unakohoaufinike mdomo
Wadadikwa ni manongo toe.,Huwa wanatoa makamasi kila siku
W'ikakaenda ifonyi ndew'ighoria w'andu.,Wakiwa wanaenda mazishi hawaambii watu
W'edefuma chienyi na malemba.,walitoka njiani na majani
Mbisi rikakwana raseka sa W'andu.,Nyani zikikutana huwa zinacheka kama watu
Midi yaw'o yakata yedema.,Miti yao imetosha ya kukata
W'aruna w'adalwa toe.,Ndugu zake wanapigana kila siku
W'endaleka kurashana malagho ghew'uya nicha.,Walipoacha kugombezana mambo yalirudi vizuri
Nikaririkanya agho ubonyere nasumbuka.,Nikikumbuka yale alifanya huwa nasumbuka
Iji dekoo w'ana dedualwa toe.,Wakati tukiwa watoto tulikwa tunapigana kilasiku
W'eja mtero niko w'isesighanaa.,Walikula kiapo ndio maana hawawachani
Aho w'ikaiyaa koka sa boro ya ng'ombe.,Pahali wanakaa kuna zii ya ng'ombe
W'eka na w'uli ghwa tongo.,Wana kitanda cha miti
Ovailwa shighadi.,Alizaliwa inje ya ndoa
Dirughue ikwanyiko kwa malombi.,Tufungue mkutano kwa maombi
Mgome ghafungwa na irasi.,Pesa imefungwa na kitambara
Funguonyi ngolo renyu.,Fungueni mioyo yenu
W'ikaw'uka nakesho w'adanywa chofi.,Wakirauka huwa wanakunywa pombe
Olow'ua kwa kichuku cha mae.,Alioa kwa mamake wa mamake
Osinda rikwa vua ikinya.,Alikuwa anazikwa mvua ikinyesha
W'ededukwa ni machi na mifugho raw'o.,Walibebwa na maji na mifugo yao
Vindo ndeviko isanga j'awo.,Chakula hakiko inchi yao
 W'aw'ae ofwa na w'ukongo ghwa ngolo.,Nyanyake alikufa na ugonjwa wa moyo
Marughu ghaw'o ghew'oa.,Ndizi zao zilioza
Kusekesigha kose kughokie.,Usiwache kote kuzuri
Waoghosha nguw'o na machi ghilue.,Aliosha nguo na maji machafu
Daw'eenda w'ona mkongo.,Tunaenda kuona mgonjwa
Dalemwa ni omoni angu useghalukagha.,Tumeshindwa na yeye kwasababu huwa habadiliki
Ndeumanyire ngera huw'o waw'ew'ona,Hjajajua kama vile anaona
W'ana w'ake w'adabonya malagho ghizamie.,Watoto wake wanafanya maneno mabaya
Mwai ukavaa shighadi wadaleghwa ni w'ambao.,Msichana akizalia inje ankataliwa na wenzao
W'ew'angwa ela ndew'ichie.,Waliitwa lakini hawakuja
Iruw'a jakala jaw'ekora w'andu vongo.,Jua ni kali linachoma watu kichwa
Naw'elola nikudumiagha.,Natafuta nitakutumia
Waw'ew'aya mbogha ra masakenyi.,Anachuna mboga za vichakani
Olumwa ni ngungunyi ukabonya vonda.,Aliumwa na kunguni akafanya vidonda
Ichijha kichuku nadachiobua.,Ule ukoo huwa nauogopa
Wadafunyirwa minga ela uaw'uya usigho.,Wanatolewa mahari lakini wanarudi wanawachwa
Kukaja vindo na mundu kusemw'ade vala.,Akila chakula na mtu usimshike mkono
Ngungunyi radareda w'ukiw'a.,Kunguni huwa zinaleta umasikini
Ondanekwa vindo ow'uya ukalomba sena.,Alipopewa chakula alirudi akaomba chakula
Ukakaja ndeumanya w'ambao.,Akiwa anakula hajui wenzake
Kiju chake cheoma.,Kivuli chake kimekauka
Ngalamvu radichea.,Mavu zimewakujia
Odeghora uchagha na vilambo.,Alisema atakuja na vyombo
Mwadime ndeukaya mzinyi.,Mwadime hakai nyumbani
Ofunya mapemba  ghose.,Alitoa mahindi yote
Kitoi chaw'adwa.,Mwizi ameshikwa
Icho kitoi ni cha hao.,Huyo mwizi ni wa wapi
Simanyaa ngera kum'manyaa loli.,Sidhani kama utamjua kweli
Itanaa malagho gheka pacha.,Saizi mambo yako mengi
Ukakunda ukutesie moni.,Akitaka ajisaidie mwenyew
Kusighe kubonya maw'iw'i na kuzoe kubonya mecha.,Uache kufanya mabaya na uanze kufanya mema
Malagho ni adadu.,Mambo ni matatu
Vitoi veka pacha mzaw'o.,Waizi wako wengi kwao
W'evalwa masa.,Wamezaliwa mapacha
W'ana w'a masa ndewipatikaa rahisi.,Watoto mapacha hawapatikani rahisi
Vuo vake vasia.,Vitabu vyake vimeisha
Mngulu wafunya mboi,Maharagwe yametoa maua
Nalola mngulu kose nikasow'a.,Nimetafuta maharagwe kote nikakosa
Mngulu waoma machi.,Maharagwe yamekauka maji
Mngulu wose wangaliwa ni machi.,Maharagwe yote yameingia maji
Waja mngulu mbishi.,Amekula maharagwe mabichi
Mngulu walungua wose.,Maharagwe yote tameharibika
W'ikiria mngulu modonyi.,Wekelea maharagwe motoni
Waw'adeka mswara na mngulu,Wanapika maharagwe na sima
M'ariwa ghasinga shuu.,Maziwa ni matamu sana
M'ariwa ghasia ghose.,Maziwa yameisha yote
Waghua m'ariwa ghose.,Amenunua maziwa yote
Wadiredia m'ariwa dideke.,Ametuletea maziwa tupike
Mariwa ghedeka chai gharedwa.,Maziwa ya kupika chaiyameletwa
Wanineka mariw'a gha duu.,Amenipa maziwa bure
Mwana wa mburi waonga m'ariwa ghose.,Mtoto wa mbuzi amenyonya maziwa yote
Wanichuia mada chongonyi.,Amenitemea mate kichwani
Mada gha choka ni sumu.,Mate ya nyoka ni sumu
Wachuia vindo vapo mada.,Ametemea chakula changu maji
Mada ghapo ghabia.,Mate yake ni makali
Mada ghatumilwa kupima wukongo.,Mate yametumiwa kupima ugonjwa
Mada gha koshi ndeghipoie.,Mate mbwa si mazuri
Mada gha mwana ni w'ughanga.,Mate ya mtoto ni dawa
Mwana wachua mada mengi.,Mtoto ametema mate mengi
Nyungu yapo yabarika.,Nyungu yangu imepasuka
Wanighuya nyungu mbaha.,Ameninunulia nyungu kubwa
Nyungu ya w'udongo yepoa sana.,Nyungu ya udongo ni nzuri sana
W'eghoghomekea milungu mizima na w'ana w'akazama., Waliabudu miungu mingine na watoto wao wakaharibika     
Nafunyire ija ifungu w'ekundee.,Nlitoa lile fungu walitaka
Niw'ikie marughu shighadi.,Niwekee ndizi inje
Mosi ghwachua irikonyi.,Moshi umejaa jikoni
W'andu w'aw'ebora nandighi.,Watu wanaimba na sauti kubwa
Mkaka irikonyi mfunge mterengo.,Mkiwa jikoni mtoe maji
Osindangira vala mfukonyi ukapata magome.,Aliingiza mkono akapata pesa
Ndeyo waenda dunga makaji machi.,Babako ameenda weka viazi maji
Waoghosha nguw'o ela ndeune sabuni.,Ameosha nguo ila hana sabuni
Kavika aho shighadi kiasikira kudaika.,Ukifika hapo inje unaskia kutrapika
Ow'adwa ni w'ukongo ghosughusika.,Ameshikwa na ugonjwa wa kutingishika
Kidasi chake Odenekwa ni w'aw'ae.,Kikapu chake alipewa na nyanyake
Ndew'ikunde kusigha monyo monyo.,Hawataki kuwacha mambo madogo madogo
Idime W'andu w'arika kila wando.,Leo watu wamezika kila mahali
W'asinda mara w'ikilola ng'ondi raiw'a.,Wamekuwa wakizunguka wakitafuta mbuzi za kuiba
Wasingilwa ni vindo mpaka wafunga meso. ,Amefurahishwa na chakula mpaka akafunga macho
Wadadungumia ukaka deka.,Huwa anasinzia akiwa anapika
Kira chadaobusha.,Giza inaogopesha
W'andu w'ose w'iendaa nakio w'andu w'adaw'iobua.,Watu wote wakuenda usiku watu wanawaogopa
Naw'ejighwa ni m'mbi ghose.,Naumwa na mwili wote
Dedekundana ela ondapata mzima.,Tulipendana lakini alipopata akaniwacha
Vindo vapo vikakola vaw'urwa siw'onaa wasi.,Chakula yangu ikishaiva sioni shida
W'andu w'aghusha midi kisha kisha.,Watu wameangusha miti vibaya
W'aw'ejosa kila kilambo kila ituku.,Wanapandisha kila kitu kila siku
W'andu w'ilemwa ni kudamba.,Watu wanashindwa na kusafiri
W'aweditusura na kujosa mavuda.,Wanatushtua na kupandisha mafuta
Aw'a w'eko na ndighi w'ibarie.,Wale wako na nguvu wapishe
Malagho gheiw'a mbuw'a ghienda mpaka li?,Mambo yakuiba mashamba yateenda mpaka lini
w'amu ndew'ine w'aya kusho vilambo va w'andu.,Watu wengine hawana haya kuchukua vitu za watu
W'ew'ingwa w'isekuw'idire vindo vaw'o.,Walifukuzwa kabla hawajavuna vyakula vyao
W'andu w'alola kojhia.,Watu wanatafuta mahali pa kukulia
W'ose w'olaghashire w'andu w'aw'o w'eliw'a.,Wote walipoteza watu wao walisahau
Kwacha kukiw'angwa ni ndee.,Unakuja ukiitwa na babake
Mkacha mkabee mterengo.,Mkija mpige magoti
Agho marumba ghanukie nicha.,Hayo marashi yananuka vizuri
Ni nicha W'andu w'ose kulindilwa.,ni vizuri watu wote kulindwa
Deka aha kulola malagho mecha.,Niko hapa kutafuta mambo mazuri
Ndouboilwaa ni mbeo wadakusuw'a.,Hapendi baridi huwa anajikuna
Ishimo jha choro chaw'o jeko ndenyi.,Shimo la choo chao liko ndani
Kakaghua mbuw'a kukae meso.,Ukiwa unanunua shambaukae macho
Wadadikumia kwaw'o seji kughokie.,Wanatusifia kwao kumependeza
Onekwa w'ubaha ela ndeudima.,Amepatiwa cheo kikubwa ila hawezani
Wadakunda malagho mabaha mabaha.,Wanataka mambo makubwa makubwa
W'ezerwa w'idudughe.,Wameambiwa wahame
Ughu msarigho ni ghwa loli.,Huu mchezo ni wakweli
Nighorie malagho maw'ishi.,Niambie mambo mapya
Kakaongosha kukaie nicha.,Ukiwa una nyonyesha ukae vizuri
Mariw'a gha nyodo ghadanuka nicha.,Maziwa ya matiti yananukia vizuri
Kuanike nguw'o shwa shwa.,Anika nguo haraka haraka
Kuoghoshe nguw'o ra mwana riele.,Uoshe nguo za mtoto ziwe safi
Lwaka lwake loka sa mundu wa w'omi.,Sauti yake iko kama ya mwanaume
Oka na malagho mecha.,Ana mambo mema
Ditesie na machi.,Tusaidie na maji
Agha machi ni gha mbeo.,Haya maji niya baridi
Mbeo yazidi.,Baridi imezidi
Makungughu ghakamba.,Mawingu yametokea
Mbeo yaw'o yadacha na vua.,Baridi yao inakuja na mvua
Mbeo yekunda mundu ukufinikire nicha.,Baridi inataka mtu ajifunuke vizuri
Ni wa chilu sa kira.,Ni mweusi kama giza
Kusekenona machi .,Usiharibu maji
W'edepata makongo gha itanaa.,Walipata magonjwa ya sikuizi
Mruna ni mundu wa w'andu.,Ndugu yake ni mtu wa watu
Wadaw'uya nakio.,Huwa anarudi usiku
Oka na tee na kii.,Ana uwongo kama nini
Nimzera ukacha.,Nitamwambia akija
Ngera ni loli.,Labda ni ukweli
Irinda jhake jhaw'elangala.,Rinda lake linaonyesha
Irinda jhake ni ilacha.,Rinda lake ni lirefu
Chonyi na vindo venyu.,Njoni na chakula chenu
Vindo veka pacha.,Chakula kilo kingi
Vindo vingi ndevisingie.,Chakula chochote hakijakuwa kitamu
Ivi vindo vasuka kweli.,Hiko chakula si kitamu
Maghuw'a gheka mbuw'enyi.,Miwa ziko shambani
Maghuw'a ghaw'o ndeghisingie.,Miwa zao si tamu
Maghuw'a ghesuka.,Miwa zao hazina utamu
W'eghua kishanua na ghajha magome.,Walinunua kichana na ile pesa
Agho magome ndeghiw'emtesia.,Hiyo pesa haimsaidii
Waiw'ilwa maghuw'a ghose.,Wameibiwa miwa yote
Maghuw'a ghaw'uduka mbuw'enyi.,Miwa imeanguka shambani
Wadauza maghuw'a skulu.,Huwa anauza miwa shuleni
Maghuw'a ghapoie mbinyi.,Miwa ni mizuri kwa mwili
Namduma maghuw'a mbuw'enyi.,Nimemtuma miwa shambani
Odemiwa ni lufu ukidumbua ighuw'a.,Amekatwa na panga akikata muwa
Ighuw'a jeka ilacha kumchumba.,Muwa ni mrefu kumshinda
Agha maghuw'a ndeghisingie.,Hii miwa si tamu
iru'wa jiko ndekune maghuw'a.,Mahali jua liko hakuna miwa
Maghuw'a ghadapoisa sukari.,Miwa inatengeneza sukari
Wadalumwa ni kifu ukaja mngulu.,Huwa anaumwa na tumbo akila maharagwe
Mngulu wose waiw'a mbuw'enyi.,Maharagwe yote yamebiwa shambani
W'ikiria mngulu modonyi.,Ekelea maharagwe motoni
Dadeka mngulu na chapati.,Tumepika maharagwe na chapati
Mngulu wose ghwalungua.,Maharagwe yote yameungua
Waja mngulu wose w'ikameria.,Wamekula maharagwe yote wakamaliza
Saw'au raja mngulu mbuw'enyi.,Tumbili zimekula maharagwe shambani
Kamkania niko kwamduma.,Umemkanya ndipo ukamtuma
Oka na ngolo ya w'ughoma.,Ana roho ya huruma
Mzaw'o w'erigha mzi ghwaw'o na ndasanya.,Kwao wamezingira boma lao na ……
Shimba yeja mburi rose.,Simba imekula mbuzi zote
Vilambo vose vedwalo w'evisa.,Vyombo zote zililetwa walificha
W'ezoghuya kwa nde mbaha.,Wamekuwa kwa babake mkubwa
Agho nighiw'oni kwa ichi kichuku siliw'agha.,Yale nliyaona kwa ile ukoo siwezi sahau
Wadaghuiya w'ana w'ake nguw'o w'iekeri.,Ananunulia watoto wake nguo peke yao
Odungia w'andu machi gha mundu ufuiye.,Aliwekea watu maji ya wafu
W'adakunda kuoghosha w'andu w'ifue.,Wanataka kuosha wafu
Okunua mwana wa w'andu iridia.,Alinyoa mtoto wa watu nyw'ele
Oka na makoko.,Yuko na magamba
Wadaobua kudamba.,Anaogopa kusafiri
Wadazamilwa ni kidaw'ida.,Anachukizwa kitaita
Osighishwa kazi kwa malagho matini.,Aliachishwa kazi kwa maneno madogo
Nguwo rose raw'ikwa andonyi.,Nguo zote zimewekwa chini
Kangia iyo mbagho kuwaobua.,Ukiingia hilo boma unaogopa
Oghora ijo ni ja mwisho.,Alisema hilo ni la mwisho
Uja mka deshomanya .,Uyo mama tumesoma pamoja
Dedezerwa mundu ukasoghora mwano uwafwa meso.,Tuliambiwa mtu akisongeza mpaka anakufa macho
Kuw'adie ichi kuko nacho.,Ushikilie kile unacho
W'ikasinda enda hata ini moni niaenda.,Wakishinda wakienda ata miminitaenda
Kukaenda kaw'uya kuseidie aha.,Ukienda ukirudi usipitie hapa
W'edesighwa kutini kuvalwa mangila.,Walibaki kidogo wazaliwe zeruzeru
Mwai wa w'andu odua oma pagha.,Msichana wa watu alikuwa anakauka damu
W'adarwa nguw'o ndacha.,Wanavaa nguo ndefu
Nguw'o rose relemwa kumkata.,Nguo zote zilikataa kumtosha
Obukwa ni iridia mpaka singo.,Alimea nyw'ele hadi shingo
Wadazamilwa ni uja mundu lakini waw'itesiaa.,Anachukizwa na yule mtu lakini amewasaidia
Naw'ejighwa ni chongo.,Naumwa na kichwa
Mzuri waw'elemwa ni w'uzuri ghake.,Mtu mzuri anashindwa na uzuri wake
Niw'esere naw'eenda choronyi.,Nisubiri naenda chooni
Wadabonya kazi ighana kwa ituku.,Huwa anafanya kazi hamsini kwa siku
Kudima kutala imweri mpaka ighana.,Unaweza hesabu moja hadi mia
Ng'ondi rake reva masa.,Kondoo zake zimejifunguwa mapacha
Osinda ukijighwa ni ighegho.,Ameshinda akiumwa na jino
Ihi koshi yedumbulwa mkomba.,Hii umbwa ilikatwa mkia
Malagho ghake wadabonya mboa.,Mambo yake huwa anafanya polepole
Uhu mwana waw'uka na iruke.,Huyu mtoto ameamka na joto
W'adaenda deka irikonyi w'ose.,Wanaenda pika jikoni wote
Daw'ikua w'iendie nakio.,Tulipata wameenda usiku
Marasi ghechua kose.,Matambara yamejaa kote
Vifumbi vechuka vose.,Viti vilivunjika vyote
W'asorie rikavika rija w'ekundee.,Walichanga zikafika vile wanataka
Maw'ughanga ghalemana na m'mbi ghwake.,Madawa yalishindikana na mwili wake
Ofwa ela waw'echia w'andu,Alifariki ila anakujia watu
Ndouw'eka na sere waw'enyorwa ni w'andu w'ifue.,Hana amani ana nyongwa na wafu
Mkambi ghwameria w'ana shuu.,Ukambe umemaliza watoto sana
Ngolo yapo yekunda kulima.,Moyo wangu unataka kulima
Kusegheshe kilambo chingi cha kisha.,Usifikirie kitu chochote kibaya
Malagho ghako ghoria Mulungu,Mambo yako ambia Mungu
Mudamu udima kukusigha ela Mulungu ndeudimaa,Binadamu anaweza kukuwacha ila Mungu hawezi
Uja mundu onizera malagho ghipoie,Ule mtu aliniambia maneno mazuri
Aw'a w'ichasigha kiw'iw'i chaw'o w'icharasimilwa.,Wale watawacha ubaya wao watabarikiwa
W'adanywa maghanga ela w'ukongo ghwachurikia.,Wanakunywa madawa lakini ugonjwa unaongezeka
Ozerwa ighuo unyo machi mengi.,Aliambiwa jana akunywe maji mengi
Vana vapo ndeviw'eja nicha.,Vifaranga vyangu havili vizuri
Naghalusire uhu mwana vindo ela waw'evilegha.,Nlibadilishia huyu mtoto chakula lakini anakikataa
W'usira lwaka ndediw'ekusikira.,Ongeza sauti hatukuskii
Luw'aw'o lwa mwana ni mae ulumanyaa.,Uchungu wa mwana aujuae mama
Mwindi ghwake ghwavimba.,Mguu wake umefura
Waw'efunya lufia lwa madu.,Anatoa usaa wa maskio
Waghora chaw'ucha kwa vose.,Amesema asante kwa yote
Waloswa waw'ejoka mighondi.,Ameota wanapanda milima
Ndekuvikagha aho kwaka huw'u.,Hautafika hapo ukiwa hivi
Vua yanya idime aha.,Mvua imenyesha leo hapa
W'andu w'edechua ela w'ajie w'ose.,Watu walijaa lakini walikula wote
Dedemzera uende malombinyi.,Tulimwambia aende kwa maombi
Kanekwa kilambo kuw'unje.,Ukipewa vitu urudishe
Ofuilwa ni mlamu wake.,Amefiliwa na baba mkwe wake
Wendaja vindo va ifonyi oluwa ni kifu.,Alipokula chakula cha mazishi aliumwa na tumbo
W'adasinda rashwa sa w'ana.,Wanashindwa wakigombezwa kama watoto
W'ikakabora chwaka raw'o nderiw'adanaa.,Wakiwa wanaimba sauti zao hazishikani
Ngolo yako yefuma kwake putu.,Roho yako ilitoka kwake kabisa
Mfunguo ghwalegha kufungua kifuli.,Ufunguo umekataa kufungua kifuli
Oghora ndeukunde kilambo chingi cha ndee.,Alisema hataki kitu yoyote ya babake
W'amu w'adaghora chaw'ucha na w'amu ndew'ighoraa.,Wengine husema asante na wengine hawasemi
W'edeka w'engi ela umweri tu nio odeghora chaw'ucha.,Walikuywa wengi lakini Mmoja tu ndio alisema asante
Oichi kughalusa malagho sa mae.,Anajua kubadilisha maneno kama mamake
Vindo vikaka tayari niko mundu waw'efuma.,Chakula kikiwa tayari ndio mtu anatoka
Wadakunda kuja ueka sa rose.,Anapenda kula peke yake kila mara
W'aendie w'ikaw'uya nicha.,Walienda wakarudi vizuri
Lwaka lwake lwadapoia kila mundu.,Sauti yake inapendwa na kila mtu
Wendazerwa olemwa nikumeria shughuli odelila.,Alipoambiwa alishindwa na kumaliza shughuli alilia
Ngolo yake yaw'eja w'asi.,Roho yake inapitia shida
Kuwawa kwa uhu mwana umanye ni mae.,Kubebwa mgongoni kwa huyu mtoto ujue ni mamake
Waw'ekunda kukubwagha duu.,Wanataka kukuua bure
Oghora osilwa ni kukaia aha w'urumwengunyi.,Alisema amechoka na kukaa huku duniani
Wajighwa ni kiw'onu ndoudimagha kumanga.,Aliumwa na kiuno hawezi kusimama wima
Mwakio na Wakio w'evalwa ni mae umweri.,Mwakio na Wakio walizaliwa na mama mmoja
W'ikaw'uka ni kuw'inga w'andu.,Wakiamka ni kufukuza watu
Mbogha raw'agarasa marangi.,Mboga zinakwaruza koo
Odongiria w'andu ela agha matuku waleka.,Alikuwa anaingilia watu lakini sikuizi amewacha
Damkua ukifunya mbori angu mundu wa w'omi wake wolwala.,Tumempata akitoa machozi kwa sabau mtu wake amekuwa mgonjwa
W'isekekudwa moo kwa w'asi ghwaw'o.,Wasikusumbue kwa shida zao
Dazerwa chongo cherama,Tuliambiwa akili iliruka
Chovu raw'esumbua w'andu.,Ndovu zinasumbua watu
Ndedirumiriagha disumbulo ni chovu.,Hatukubali kusumbuliwa na ndovu
Kusekae shighadi kuw'anyelwa ni vua.,Usikae inje utanyeshewa na mvua
Waghora w'iw'aghilo vilambo va ndee.,Wamesema wagawanyiwe vitu za baba yao
Inyo muko na W'andu wemdederia,Nyinyi mko na watu wa kuwatetea
Wachura malagho pacha,Wamejaza maneno mengi
Waw'elola andu koja.,Wanatafuta mahali pa kula
W'andu w'amu w'echa kusumbua w'andu.,Watu wengine wamekuja kusumbua watu
Vua yanona mngulu,Mvua imeharibu maharagwe
Mngulu ukaoma kumfunye.,Maharagwe yakikauka uyatoe
Waenja mngulu ikanisenyi,Amepeleka maharagwe kanisani
Chadu chapo charashuka,Kiatu changu kimeraruka
Walaghasha vadu skulu,Amepoteza viatu shuleni
Mwana wazoya kurwa vadu,Mtoto ameanza kuvaa viatu
Wanekwa vadu ni mruna,Amepewa viatu na ndugu yake
Waiw'a vadu vapo.,Wameiba viatu vyangu
Chadu chapo chalaghaya,Kiatu changu kimepotea
Koshi yarashua chadu chapo,Mbwa imerarua kiatu changu
W'ekunda kumghalusa maghesho.,Wanataka kumbadilisha mawazo
Kuw'onyere w'andu chia.,Uonyeshe watu njia
W'asela kose ela ndew'iw'onie klambo chingi.,Wametembea kote ila hawajaona kitu chochote
Ghuenyi mwana nguw'o rimkataa.,Nunulieni mtoto nguo zenye zinamtosha
Jingi sikwane na mundu uko na malagho ghizamie sa uo.,Hakuna siku nimekutana na mtu ana mambo mabaya kama huyo
Idime diashoma malagho mawi'shi.,Leo tunasoma mambo mapya
Nammanyisha law'uke daw'ekwana.,Nimemjulisha kesho kutwa tunakutana
Wadafundisha nicha loli,Wanafundisha vizuri aki
W'ana w'ose w'emkunda angu ufundisha nicha.,Watoto wote wanampenda kwa sababu anafundisha vizuri
Mukazighana iruw'a meso ghiafunya mbori.,Mkiangalia jua macho yanatoa machozi
Mulungu kimbiri mazima ghinughe,Mungu mbele mengine yafwate
Kwaw'eenda nyumba ikumi?,Unaenda nyumba kumi?
Naw'eenda duka saru,Naeenda kubeba mbolea
W'ekuunda kubwagha mchili,Wanataka kumuua mhubiri
Kabonya mecha kwakubonyera kumoni,Ukifanya mazuri unajifanyia mwenyewe
Kameria kuja vindo ni nicha kunyo machi,Ukimaliza kula chakula ni vizuri ukunywe maji
W'eja vindo va mbao.,Wamekula chakula cha mwenzao
Namduma uende lomba kiserere,Nimemtuma aende aombe chumvi
W'andu w'aw'elila kila ituku.,Watu wanalia kila siku
W'andu w'edezoya kuja ikwanyikonyi.,Watu walianza kula mkutanoni
Odemwa na lufu ifonyi,Alikatwa na panga mazishini
Malagho ghamu ni gha tee,Mambo mengine ni ya uongo
Daw'elola mundu odisimamia,Tunatafuta mtu wakutusimamia
Oka na w'asi ghwa dilo okunda kulala saa rose.,Yuko na shida ya usingizi anataka kulala kila wakati 
W'ana agha matuku w'amanyire kubonya mengi.,Watoto siku izi wamejua kufanya mengi
Ghikafuma ndeghiw'uya.,Yakitoka hayarudi
Walegha na mbuw'a raw'o.,Wamekataa na shamba zao
Masaka ghachua skulu,Kichaka kimejaa shuleni
W'andu w'engi w'ongo ghwaw'o nderighesha.,Watu wengi akili zao hazifikirii
Otochwa na vala va mbua.,Alidungwa na vidole kwa pua
Haenyi kwa agho nghimpatire,Poleni kwa yale yaliyo wapata
Jikafuma momu ndejiw'uyaa.,Likitoka mdomoni halirudi
Sechemanya ngera mwaendie kiw'ada.,Sikuja juwa kama mlienda vipi
Koko andu kukundikie kuw'alo mngulu.,Kuna mahali kunahitajika kupandwa maharagwe
W'aa midi kavui kavui.,Panda miti karibu karibu
Choo dije vindo vaw'urwa.,Njoo tukule chakula imeiva
Omoni wadaririkanya malagho gha kala.,Yeye hukumbuka maneno ya kitambo
Chovu ranona kila kilambo mbuw'enyi.,Ndovu zimeharibu kila kitu shambani
Naw'euza mbogha ra kidaw'ida.,Nauza mboga za kitaita
Irina japo sikunde jitumilo kisha,Jina langu sitaki litumiwe vibaya
W[ana w'amu w'atini w'eka na vifu.,Watoto wengine wadogo wako na mimba
Kukaghilola kuw'aghipata.,Ukiyatafuta unayapata
Aw'a w'andu mseichi kulima mka na w'asi.,Wale watu hamjui kulima mtakuwa na shida
Kuseliw'e vija vilambo nikudumie.,Usisahau vile vu ulitumana
W'enda meria kukama ng'ombe mariw'a ghose ghedika.,Alipomaliza kukama ng'ombe maziwa yote yalimwagika
Naw'eida shwaw'ori niw'uya.,Napita haraka nitarudi
W'omi w'engi w'aleghwa ni w'aka angu w'isene magome.,Wanaume wengi wamekataliwa na wanawake kwa sababu hawana pesa
W'aka w'atini w'adakaba w'omi.,Wanawake wachanga wanapiga waume
